Date,Name,Year,Letterboxd URI
2024-06-07,Hard Eight,1996,https://boxd.it/20DU
2024-06-07,The Drowning Pool,1975,https://boxd.it/1gOC
2024-06-07,Bad Lieutenant,1992,https://boxd.it/1Src
2024-06-07,Havana,1990,https://boxd.it/1AUK
2024-06-09,Paris Blues,1961,https://boxd.it/1eYK
2024-06-13,My Own Private Idaho,1991,https://boxd.it/2ak4
2024-06-13,"Paris, Texas",1984,https://boxd.it/29Ts
2024-06-13,Badlands,1973,https://boxd.it/25Fm
2024-06-13,Riddle of Fire,2023,https://boxd.it/GamO
2024-06-15,Butch Cassidy and the Sundance Kid,1969,https://boxd.it/29Vy
2024-06-15,The Guns of Navarone,1961,https://boxd.it/1V62
2024-06-15,The Fire Within,1963,https://boxd.it/26AM
2024-06-15,Spy Game,2001,https://boxd.it/28Fk
2024-06-16,Thelma & Louise,1991,https://boxd.it/28Ew
2024-06-16,The Candidate,1972,https://boxd.it/1Bvc
2024-06-18,Slums of Beverly Hills,1998,https://boxd.it/1NCO
2024-06-21,1900,1976,https://boxd.it/24Zg
2024-06-24,The Messenger: The Story of Joan of Arc,1999,https://boxd.it/1XdE
2024-06-24,Nashville,1975,https://boxd.it/25GE
2024-07-01,Hard Ticket to Hawaii,1987,https://boxd.it/1uEw
2024-07-15,The American Friend,1977,https://boxd.it/1UkC
2024-07-20,The Dead Zone,1983,https://boxd.it/1U6g
2024-07-20,Thief,1981,https://boxd.it/1TEc
2024-07-24,The Year of Living Dangerously,1982,https://boxd.it/1TBs
2024-07-24,Absence of Malice,1981,https://boxd.it/1F74
2024-07-24,Fitzcarraldo,1982,https://boxd.it/1YV8
2024-07-24,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe
2024-08-02,A Colt Is My Passport,1967,https://boxd.it/15la
2024-08-06,Blow Out,1981,https://boxd.it/1TlE
2024-08-11,Diên Biên Phu,1992,https://boxd.it/2z62
2024-08-12,All Is Lost,2013,https://boxd.it/4OgK
2024-08-16,Carlito's Way,1993,https://boxd.it/226e
2024-09-13,Paid in Full,2002,https://boxd.it/1QQu
2024-09-13,To Live and Die in L.A.,1985,https://boxd.it/1XFo
2024-09-21,Democrats,2014,https://boxd.it/9MBm
